NOC,Year,Total_Athletes,Total_Medals,GDP,Population
AFG,2004,5,0,5224896718.67782,23560654.0
AFG,2008,4,1,10109297047.5432,26482622.0
AFG,2012,6,1,19907329777.5872,30560034.0
AFG,2016,3,0,18116572395.0772,34700612.0
ALB,1992,7,0,652174990.837304,3247039.0
ALB,1996,7,0,3234486232.04392,3168033.0
ALB,2000,4,0,3584570164.85195,3089027.0
ALB,2004,7,0,7406645793.44038,3026939.0
ALB,2006,1,0,9150528132.17633,2992547.0
ALB,2008,11,0,13258506375.4518,2947314.0
ALB,2010,1,0,12086545641.299,2913021.0
ALB,2012,9,0,12246499747.9714,2860708.0
ALB,2014,1,0,13296322588.1684,2773767.0
ALB,2016,6,0,11988668784.6628,2689469.0
AND,1976,8,0,227283850.831271,29436.0
AND,1980,5,0,446377776.798001,35782.0
AND,1984,4,0,330073080.637098,42273.0
AND,1988,7,0,721425939.15155,49416.0
AND,1992,13,0,1209992020.29543,60200.0
AND,1994,6,0,1017544068.8408,64612.0
AND,1996,8,0,1224024139.21295,63984.0
AND,1998,3,0,1211953994.05714,65382.0
AND,2000,5,0,1432606188.65883,65685.0
AND,2002,3,0,1764279824.23138,66506.0
AND,2004,6,0,2900245324.32047,74325.0
AND,2006,3,0,3459337986.67058,79585.0
AND,2008,5,0,4102319398.76562,83495.0
AND,2010,6,0,3449925738.83334,80706.0
AND,2012,6,0,3188652765.29297,76834.0
AND,2014,6,0,3271685596.52156,73737.0
AND,2016,4,0,2896610479.86771,72181.0
ARG,1960,98,4,15865474315.4056,20386045.0
ARG,1964,114,1,25605249381.7597,21769453.0
ARG,1968,94,2,26436857247.4982,23150583.0
ARG,1972,94,1,34733000536.2862,24644328.0
ARG,1976,77,0,51169499892.1722,26282283.0
ARG,1980,13,0,76961923741.0701,28011596.0
ARG,1984,99,0,116915052107.031,29863093.0
ARG,1988,133,13,126890235049.092,31780532.0
ARG,1992,104,2,228778917308.17,33693527.0
ARG,1994,10,0,257440000000.0,34613491.0
ARG,1996,179,20,272149750000.0,35513793.0
ARG,1998,2,0,298948250000.0,36372860.0
ARG,2000,143,20,284203750000.0,37213984.0
ARG,2002,11,0,97724004251.8602,38029349.0
ARG,2004,152,49,164657930452.787,38815916.0
ARG,2006,9,0,232557260817.308,39622115.0
ARG,2008,132,51,361558037110.419,40424148.0
ARG,2010,7,0,423627422092.49,41288694.0
ARG,2012,137,19,545982375701.128,42161721.0
ARG,2014,7,0,526319673731.638,43024071.0
ARG,2016,215,22,557532320662.955,43900313.0
ARM,1994,2,0,1315158636.67553,3364610.0
ARM,1996,32,2,1596968946.23708,3278735.0
ARM,1998,7,0,1893726437.26462,3208401.0
ARM,2000,25,1,1911563668.85006,3221100.0
ARM,2002,9,0,2376335048.39976,3199800.0
ARM,2004,18,0,3576615240.41616,3164900.0
ARM,2006,5,0,6384452066.5146,3127100.0
ARM,2008,25,6,11662040713.8753,3087100.0
ARM,2010,4,0,9260285755.62424,3044800.0
ARM,2012,24,3,10619320682.9474,3024100.0
ARM,2014,4,0,11609513246.7958,3013800.0
ARM,2016,31,4,10546136235.5219,2992300.0
AUS,1960,219,46,18635682981.7093,10276477.0
AUS,1964,248,44,23835843813.735,11167000.0
AUS,1968,131,51,32763365242.1384,12009000.0
AUS,1972,172,20,52117990654.2056,13177000.0
AUS,1976,188,23,105209354855.787,14033000.0
AUS,1980,129,13,150200557103.064,14692000.0
AUS,1984,252,52,193749932078.26,15579391.0
AUS,1988,271,35,236461079970.431,16532164.0
AUS,1992,301,57,325982966981.415,17478635.0
AUS,1994,25,4,323269456935.317,17805468.0
AUS,1996,417,132,401962517479.122,18224767.0
AUS,1998,23,1,400361527504.578,18607584.0
